DL1,aaa000880001,u-d1,544
DL2,aaa000880002,u-d2,545
DL3,aaa000880003,u-d3,546
DL4,aaa000880004,u-d4,547
DL5,aaa000880005,u-d5,548
DL6,aaa000880006,u-d6,549
DL7,aaa000880007,u-d7,550
DL8,aaa000880008,u-d8,551
DL9,aaa000880009,u-d9,552
DL10,aaa000880010,u-d10,553
DL11,aaa000880011,u-d11,554
DL12,aaa000880012,u-d12,555
DL13,aaa000880013,u-d13,556
DL14,aaa000880014,u-d14,557
DL15,aaa000880015,u-d15,558
DL16,aaa000880016,u-d16,559
DL17,aaa000880017,u-d17,560
DL18,aaa000880018,u-d18,561
DL19,aaa000880019,u-d19,562
DL20,aaa000880020,u-d20,563
DL21,aaa000880021,u-d21,564
DL22,aaa000880022,u-d22,565
DL23,aaa000880023,u-d23,566
DL24,aaa000880024,u-d24,567
