07/14/17 16:58:09.235 AB ================ AB START ========================
07/14/17 16:58:09.238 AB Args: -ipServer 172.30.29.1 -ip 172.30.26.143 -cmd C:\Autoclient\TOOL\ab\Temp\172.30.26.143_TempAb.ab -out C:\Autoclient\TOOL\ab\Temp\172.30.26.143_2017_07_14_16_58.out -dir C:\Autoclient\TOOL\AB5\ -log 5 -wavdir C:\Autoclient\TOOL\ab\WavFiles -apMac ff11111111ff -mac 0009ef001002 -rtp 
07/14/17 16:58:09.238 AB 
07/14/17 16:58:09.239 AB java.vm.name Java HotSpot(TM) 64-Bit Server VM
07/14/17 16:58:09.239 AB java.runtime.version 1.8.0_121-b13
07/14/17 16:58:09.239 AB AB4 -- Automated Badge Version 4 (Build 9400)
07/14/17 16:58:09.240 AB Apr 21 2013  added -phoneLogDir for vomo-SIP logs.
07/14/17 16:58:09.240 AB Mar 29 2013  abUserAgent.dll nowe loads ok.
07/14/17 16:58:09.240 AB Jan 21 2013  DLL crash fixed.  Log files (non-AB) re-directed.  Speaker can be turned off.
07/14/17 16:58:09.241 AB Temporary files directory: C:\Users\sgartia\AppData\Local\Temp\ab_temp\689241\
07/14/17 16:58:09.246 AB sName resources/0.wav
07/14/17 16:58:09.252 AB sName resources/1.wav
07/14/17 16:58:09.259 AB sName resources/2.wav
07/14/17 16:58:09.265 AB sName resources/3.wav
07/14/17 16:58:09.270 AB sName resources/4.wav
07/14/17 16:58:09.276 AB sName resources/5.wav
07/14/17 16:58:09.281 AB sName resources/6.wav
07/14/17 16:58:09.286 AB sName resources/7.wav
07/14/17 16:58:09.291 AB sName resources/8.wav
07/14/17 16:58:09.299 AB sName resources/9.wav
07/14/17 16:58:09.304 AB sName resources/Accept.wav
07/14/17 16:58:09.312 AB sName resources/AddressBook.wav
07/14/17 16:58:09.318 AB sName resources/AnotherNumber.wav
07/14/17 16:58:09.324 AB sName resources/Call.wav
07/14/17 16:58:09.330 AB sName resources/DepartmentOne.wav
07/14/17 16:58:09.336 AB sName resources/Deskphone.wav
07/14/17 16:58:09.341 AB sName resources/Everyone.wav
07/14/17 16:58:09.347 AB sName resources/From.wav
07/14/17 16:58:09.354 AB sName resources/HomePhone.wav
07/14/17 16:58:09.360 AB sName resources/LogOut.wav
07/14/17 16:58:09.366 AB sName resources/Only.wav
07/14/17 16:58:09.372 AB sName resources/OutsideBuddy.wav
07/14/17 16:58:09.381 AB sName resources/Stop_Forwarding.wav
07/14/17 16:58:09.387 AB sName resources/To.wav
07/14/17 16:58:09.394 AB sName resources/Transfer.wav
07/14/17 16:58:09.400 AB sName resources/WhatGroupsAmIIn.wav
07/14/17 16:58:09.407 AB sName resources/WhatTimeIsIt.wav
07/14/17 16:58:09.417 AB sName resources/WhoAmI.wav
07/14/17 16:58:09.424 AB sName resources/a-2.wav
07/14/17 16:58:09.432 AB sName resources/a.wav
07/14/17 16:58:09.451 AB sName resources/accept_all_calls.wav
07/14/17 16:58:09.458 AB sName resources/add.wav
07/14/17 16:58:09.464 AB sName resources/address_book.wav
07/14/17 16:58:09.471 AB sName resources/all.wav
07/14/17 16:58:09.477 AB sName resources/an-2.wav
07/14/17 16:58:09.483 AB sName resources/an.wav
07/14/17 16:58:09.489 AB sName resources/announce.wav
07/14/17 16:58:09.494 AB sName resources/another.wav
07/14/17 16:58:09.499 AB sName resources/another_number.wav
07/14/17 16:58:09.504 AB sName resources/b.wav
07/14/17 16:58:09.509 AB sName resources/back.wav
07/14/17 16:58:09.515 AB sName resources/block.wav
07/14/17 16:58:09.520 AB sName resources/block_all_calls.wav
07/14/17 16:58:09.525 AB sName resources/block_all_calls_except.wav
07/14/17 16:58:09.531 AB sName resources/broadcast.wav
07/14/17 16:58:09.536 AB sName resources/buddies.wav
07/14/17 16:58:09.540 AB sName resources/c.wav
07/14/17 16:58:09.545 AB sName resources/calls.wav
07/14/17 16:58:09.550 AB sName resources/cancel.wav
07/14/17 16:58:09.555 AB sName resources/cell.wav
07/14/17 16:58:09.560 AB sName resources/cell_phone.wav
07/14/17 16:58:09.565 AB sName resources/cellphone.wav
07/14/17 16:58:09.570 AB sName resources/command.wav
07/14/17 16:58:09.575 AB sName resources/conference.wav
07/14/17 16:58:09.582 AB sName resources/connect_to.wav
07/14/17 16:58:09.587 AB sName resources/d.wav
07/14/17 16:58:09.592 AB sName resources/delete.wav
07/14/17 16:58:09.597 AB sName resources/department_one.wav
07/14/17 16:58:09.602 AB sName resources/desk.wav
07/14/17 16:58:09.606 AB sName resources/desk_phone.wav
07/14/17 16:58:09.611 AB sName resources/dial.wav
07/14/17 16:58:09.616 AB sName resources/double.wav
07/14/17 16:58:09.620 AB sName resources/e.wav
07/14/17 16:58:09.625 AB sName resources/erase.wav
07/14/17 16:58:09.630 AB sName resources/except.wav
07/14/17 16:58:09.634 AB sName resources/extension.wav
07/14/17 16:58:09.640 AB sName resources/f.wav
07/14/17 16:58:09.646 AB sName resources/forward.wav
07/14/17 16:58:09.652 AB sName resources/forward_ALL_option.wav
07/14/17 16:58:09.658 AB sName resources/forward_OFFLINE_Option.wav
07/14/17 16:58:09.664 AB sName resources/forward_my_calls_to.wav
07/14/17 16:58:09.669 AB sName resources/forwarding.wav
07/14/17 16:58:09.676 AB sName resources/from-2.wav
07/14/17 16:58:09.681 AB sName resources/g.wav
07/14/17 16:58:09.687 AB sName resources/greeting.wav
07/14/17 16:58:09.693 AB sName resources/group-2.wav
07/14/17 16:58:09.698 AB sName resources/group.wav
07/14/17 16:58:09.703 AB sName resources/h.wav
07/14/17 16:58:09.708 AB sName resources/home.wav
07/14/17 16:58:09.713 AB sName resources/home_phone.wav
07/14/17 16:58:09.718 AB sName resources/i.wav
07/14/17 16:58:09.722 AB sName resources/j.wav
07/14/17 16:58:09.727 AB sName resources/join_the_conference_for.wav
